field_name,block,display_name_zh,display_name_en,definition,asset_class,region,unit,frequency,tenor_bucket,rating_bucket,needs_history,rebuild_grade,collector
US_TREASURY_2Y,US_RATES,美國公債 2Y,US Treasury 2Y Yield,US nominal par yield 2-year maturity,rates,US,percent,daily,2y,na,yes,A,fred / treasury_gov
US_TREASURY_5Y,US_RATES,美國公債 5Y,US Treasury 5Y Yield,US nominal par yield 5-year maturity,rates,US,percent,daily,5y,na,yes,A,fred / treasury_gov
US_TREASURY_10Y,US_RATES,美國公債 10Y,US Treasury 10Y Yield,US nominal par yield 10-year maturity,rates,US,percent,daily,10y,na,yes,A,fred / treasury_gov
US_TREASURY_30Y,US_RATES,美國公債 30Y,US Treasury 30Y Yield,US nominal par yield 30-year maturity,rates,US,percent,daily,30y,na,yes,A,fred / treasury_gov
US_TREASURY_1M,US_RATES,美國公債 1M,US Treasury 1M Yield,US nominal par yield 1-month maturity,rates,US,percent,daily,1m,na,yes,A,treasury_gov
US_TREASURY_3M,US_RATES,美國公債 3M,US Treasury 3M Yield,US nominal par yield 3-month maturity,rates,US,percent,daily,3m,na,yes,A,fred / treasury_gov
US_TREASURY_6M,US_RATES,美國公債 6M,US Treasury 6M Yield,US nominal par yield 6-month maturity,rates,US,percent,daily,6m,na,yes,A,treasury_gov
US_TREASURY_1Y,US_RATES,美國公債 1Y,US Treasury 1Y Yield,US nominal par yield 1-year maturity,rates,US,percent,daily,1y,na,yes,A,fred / treasury_gov
US_TIPS_5Y,US_RATES,TIPS 5Y 實質殖利率,US TIPS 5Y Real Yield,Real yield from inflation-protected securities 5Y,rates,US,percent,daily,5y,na,yes,A,fred
US_TIPS_10Y,US_RATES,TIPS 10Y 實質殖利率,US TIPS 10Y Real Yield,Real yield from inflation-protected securities 10Y,rates,US,percent,daily,10y,na,yes,A,fred
US_BEI_5Y,US_RATES,5Y 損益平衡通膨率,5Y Breakeven Inflation Rate,5Y nominal minus 5Y TIPS real yield,rates,US,percent,daily,5y,na,yes,A,fred
US_BEI_10Y,US_RATES,10Y 損益平衡通膨率,10Y Breakeven Inflation Rate,10Y nominal minus 10Y TIPS real yield,rates,US,percent,daily,10y,na,yes,A,fred
US_CURVE_10Y2Y,US_RATES,殖利率曲線 10Y-2Y,US Yield Curve 10Y-2Y,10Y Treasury minus 2Y Treasury yield spread,rates,US,percent,daily,na,na,yes,A,fred
US_SOFR,MONEY_MARKET,SOFR,Secured Overnight Financing Rate,Overnight Treasury repo rate; LIBOR replacement,rates,US,percent,daily,overnight,na,yes,A,fred
