field_name,rebuild_grade,grade_reason,bloomberg_equivalent,alternative_definition,data_gap_risk,implemented,collector
US_TREASURY_2Y,A,Official FRED API + Treasury.gov. Exact same data as Bloomberg USGG2YR.,USGG2YR Index,Same data; Bloomberg shows T+0 same day; FRED has same-day via DGS2,low,yes,fred / treasury_gov
US_TREASURY_5Y,A,Official FRED API + Treasury.gov. Exact same data.,USGG5YR Index,Same data,low,yes,fred / treasury_gov
US_TREASURY_10Y,A,Official FRED API + Treasury.gov. Exact same data.,USGG10YR Index,Same data,low,yes,fred / treasury_gov
US_TREASURY_30Y,A,Official FRED API + Treasury.gov. Exact same data.,USGG30YR Index,Same data,low,yes,fred / treasury_gov
US_TIPS_5Y,A,FRED DFII5 — official Fed source. Same as Bloomberg USGGT05Y.,USGGT05Y Index,Same data,low,yes,fred
US_TIPS_10Y,A,FRED DFII10 — official Fed source.,USGGT10Y Index,Same data,low,yes,fred
US_BEI_5Y,A,FRED T5YIE — official Fed calculation.,USGGBE05 Index,Same data,low,yes,fred
US_BEI_10Y,A,FRED T10YIE — official Fed calculation.,USGGBE10 Index,Same data,low,yes,fred
US_CURVE_10Y2Y,A,FRED T10Y2Y — direct spread series.,USYC2Y10 Index,Same data,low,yes,fred
US_SOFR,A,FRED SOFR — FRBNY official daily publication.,SOFR Index,Same data,low,yes,fred
US_EFFR,A,FRED EFFR — FRBNY official daily publication.,FEDL01 Index,Same data,low,yes,fred
US_IG_OAS,A,FRED BAMLC0A0CM — ICE BofA via FRED. T+1 publish lag vs Bloomberg T+0.,C0A0 Index (OAS),T+1 lag; same methodology as Bloomberg C0A0,low,yes,fred
US_HY_OAS,A,FRED BAMLH0A0HYM2 — ICE BofA via FRED. T+1 lag.,H0A0 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_BBB_OAS,A,FRED BAMLC0A4CBBB — T+1 lag.,C0A4 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_BB_OAS,A,FRED BAMLH0A1HYBB — T+1 lag.,H0A1 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_B_OAS,A,FRED BAMLH0A2HYB — T+1 lag.,H0A2 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_CCC_OAS,A,FRED BAMLH0A3HYC — T+1 lag.,H0A3 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_FA_OAS,A,FRED BAMLH0A4FANDOAS — T+1 lag.,HUC0 Index (OAS),T+1 lag; same methodology,low,yes,fred
US_IG_YIELD,A,FRED BAMLC0A0CMEY — T+1 lag.,C0A0 Index (YTW),T+1 lag; same methodology,low,yes,fred
US_HY_YIELD,A,FRED BAMLH0A0HYM2EY — T+1 lag.,H0A0 Index (YTW),T+1 lag; same methodology,low,yes,fred
US_BB_YIELD,A,FRED BAMLH0A1HYBBEY — T+1 lag.,H0A1 Index (YTW),T+1 lag,low,yes,fred
US_B_YIELD,A,FRED BAMLH0A2HYBEY — T+1 lag.,H0A2 Index (YTW),T+1 lag,low,yes,fred
